ERROR ==> program: smp/threads004 | flag: -fcase-merge
OK ==> program: smp/threads006 | flag: -O0
OK ==> program: smp/threads006 | flag: -fcase-merge
OK ==> program: smp/threads007 | flag: -O0
OK ==> program: smp/threads007 | flag: -fcase-merge
OK ==> program: spectral/ansi | flag: -O0
OK ==> program: spectral/ansi | flag: -fcase-merge
OK ==> program: spectral/atom | flag: -O0
OK ==> program: spectral/atom | flag: -fcase-merge
OK ==> program: spectral/awards | flag: -O0
OK ==> program: spectral/awards | flag: -fcase-merge
OK ==> program: spectral/banner | flag: -O0
OK ==> program: spectral/banner | flag: -fcase-merge
OK ==> program: spectral/boyer2 | flag: -O0
OK ==> program: spectral/boyer2 | flag: -fcase-merge
OK ==> program: spectral/calendar | flag: -O0
OK ==> program: spectral/calendar | flag: -fcase-merge
OK ==> program: spectral/clausify | flag: -O0
OK ==> program: spectral/clausify | flag: -fcase-merge
OK ==> program: spectral/constraints | flag: -O0
OK ==> program: spectral/constraints | flag: -fcase-merge
OK ==> program: spectral/cryptarithm1 | flag: -O0
OK ==> program: spectral/cryptarithm1 | flag: -fcase-merge
OK ==> program: spectral/cryptarithm2 | flag: -O0
OK ==> program: spectral/cryptarithm2 | flag: -fcase-merge
OK ==> program: spectral/cse | flag: -O0
OK ==> program: spectral/cse | flag: -fcase-merge
OK ==> program: spectral/dom-lt | flag: -O0
OK ==> program: spectral/dom-lt | flag: -fcase-merge
OK ==> program: spectral/eliza | flag: -O0
OK ==> program: spectral/eliza | flag: -fcase-merge
OK ==> program: spectral/exact-reals | flag: -O0
OK ==> program: spectral/exact-reals | flag: -fcase-merge
OK ==> program: spectral/expert | flag: -O0
OK ==> program: spectral/expert | flag: -fcase-merge
ERROR ==> program: spectral/fft2/old | flag: -O0
ERROR ==> program: spectral/fft2/old | flag: -fcase-merge
OK ==> program: spectral/fish | flag: -O0
OK ==> program: spectral/fish | flag: -fcase-merge
OK ==> program: spectral/gcd | flag: -O0
OK ==> program: spectral/gcd | flag: -fcase-merge
OK ==> program: spectral/hartel/comp_lab_zift | flag: -O0
OK ==> program: spectral/hartel/comp_lab_zift | flag: -fcase-merge
OK ==> program: spectral/hartel/event | flag: -O0
OK ==> program: spectral/hartel/event | flag: -fcase-merge
OK ==> program: spectral/hartel/fft | flag: -O0
OK ==> program: spectral/hartel/fft | flag: -fcase-merge
OK ==> program: spectral/hartel/genfft | flag: -O0
OK ==> program: spectral/hartel/genfft | flag: -fcase-merge
OK ==> program: spectral/hartel/ida | flag: -O0
OK ==> program: spectral/hartel/ida | flag: -fcase-merge
OK ==> program: spectral/hartel/listcompr | flag: -O0
OK ==> program: spectral/hartel/listcompr | flag: -fcase-merge
OK ==> program: spectral/hartel/listcopy | flag: -O0
OK ==> program: spectral/hartel/listcopy | flag: -fcase-merge
OK ==> program: spectral/hartel/nucleic2 | flag: -O0
OK ==> program: spectral/hartel/nucleic2 | flag: -fcase-merge
OK ==> program: spectral/hartel/parstof | flag: -O0
OK ==> program: spectral/hartel/parstof | flag: -fcase-merge
OK ==> program: spectral/hartel/sched | flag: -O0
OK ==> program: spectral/hartel/sched | flag: -fcase-merge
OK ==> program: spectral/hartel/solid | flag: -O0
OK ==> program: spectral/hartel/solid | flag: -fcase-merge
OK ==> program: spectral/hartel/transform | flag: -O0
OK ==> program: spectral/hartel/transform | flag: -fcase-merge
OK ==> program: spectral/hartel/typecheck | flag: -O0
OK ==> program: spectral/hartel/typecheck | flag: -fcase-merge
OK ==> program: spectral/hartel/wang | flag: -O0
OK ==> program: spectral/hartel/wang | flag: -fcase-merge
OK ==> program: spectral/hartel/wave4main | flag: -O0
OK ==> program: spectral/hartel/wave4main | flag: -fcase-merge
OK ==> program: spectral/integer | flag: -O0
OK ==> program: spectral/integer | flag: -fcase-merge
OK ==> program: spectral/lambda | flag: -O0
OK ==> program: spectral/lambda | flag: -fcase-merge
OK ==> program: spectral/last-piece | flag: -O0
OK ==> program: spectral/last-piece | flag: -fcase-merge
OK ==> program: spectral/lcss | flag: -O0
OK ==> program: spectral/lcss | flag: -fcase-merge
OK ==> program: spectral/life | flag: -O0
OK ==> program: spectral/life | flag: -fcase-merge
OK ==> program: spectral/mandel2 | flag: -O0
OK ==> program: spectral/mandel2 | flag: -fcase-merge
OK ==> program: spectral/mate | flag: -O0
OK ==> program: spectral/mate | flag: -fcase-merge
ERROR ==> program: spectral/minimax | flag: -O0
ERROR ==> program: spectral/minimax | flag: -fcase-merge
OK ==> program: spectral/multiplier | flag: -O0
OK ==> program: spectral/multiplier | flag: -fcase-merge
OK ==> program: spectral/power | flag: -O0
OK ==> program: spectral/power | flag: -fcase-merge
OK ==> program: spectral/pretty | flag: -O0
OK ==> program: spectral/pretty | flag: -fcase-merge
OK ==> program: spectral/puzzle | flag: -O0
OK ==> program: spectral/puzzle | flag: -fcase-merge
OK ==> program: spectral/scc | flag: -O0
OK ==> program: spectral/scc | flag: -fcase-merge
OK ==> program: spectral/simple | flag: -O0
OK ==> program: spectral/simple | flag: -fcase-merge
OK ==> program: spectral/sorting | flag: -O0
OK ==> program: spectral/sorting | flag: -fcase-merge
OK ==> program: spectral/treejoin | flag: -O0
OK ==> program: spectral/treejoin | flag: -fcase-merge
COOLDOWN ==> 15 seconds
OK ==> program: parallel/blackscholes | flag: -O0
ERROR ==> program: parallel/blackscholes | flag: -fcase-merge
ERROR ==> program: parallel/cfd | flag: -O0
ERROR ==> program: parallel/cfd | flag: -fcase-merge
ERROR ==> program: parallel/coins | flag: -O0
ERROR ==> program: parallel/coins | flag: -fcase-merge
ERROR ==> program: parallel/dcbm | flag: -O0
ERROR ==> program: parallel/dcbm | flag: -fcase-merge
ERROR ==> program: parallel/gray | flag: -O0
ERROR ==> program: parallel/gray | flag: -fcase-merge
ERROR ==> program: parallel/linsolv | flag: -O0
ERROR ==> program: parallel/linsolv | flag: -fcase-merge
