timestamp,program,flag,execution_time,pkg_energy,pp0,pp1,dram,psys
Tue Jun  7 17:26:40 2022,queens,-O0,19800.254000,363.024170,217.235535,0.000000,27.690186,0.000000
Tue Jun  7 17:28:14 2022,queens,-O0,19805.885000,365.687927,218.360474,0.000000,27.662659,0.000000
Tue Jun  7 17:29:58 2022,queens,-O0,19790.734000,363.807068,217.632568,0.000977,27.616943,0.000000
Tue Jun  7 17:32:07 2022,queens,-O0,19815.416000,364.681091,217.844788,0.001038,27.659241,0.000000
Tue Jun  7 17:34:01 2022,queens,-O0,19800.891000,363.667297,217.334045,0.001221,27.633728,0.000000
Tue Jun  7 17:35:39 2022,queens,-O0,19781.898000,366.136719,219.205444,0.001038,27.613525,0.000000
Tue Jun  7 17:37:34 2022,queens,-O0,19794.034000,365.216553,218.011841,0.000000,27.574097,0.000000
Tue Jun  7 17:39:38 2022,queens,-O0,19811.890000,363.777344,216.960205,0.000000,27.610168,0.000000
Tue Jun  7 17:41:19 2022,queens,-O0,19798.840000,362.852722,216.788147,0.001099,27.612305,0.000000
Tue Jun  7 17:42:47 2022,queens,-O0,19813.125000,362.327087,216.622131,0.001038,27.594421,0.000000
Tue Jun  7 17:45:30 2022,queens,-fcase-merge,19815.637000,364.705383,217.757263,0.001221,27.600220,0.000000
Tue Jun  7 17:46:39 2022,queens,-fcase-merge,19808.720000,365.660339,218.723145,0.000000,27.605591,0.000000
Tue Jun  7 17:48:45 2022,queens,-fcase-merge,19795.549000,365.045776,218.357056,0.000000,27.599792,0.000000
Tue Jun  7 17:50:43 2022,queens,-fcase-merge,19802.425000,365.025330,218.331360,0.001038,27.593689,0.000000
Tue Jun  7 17:52:30 2022,queens,-fcase-merge,19804.466000,364.947449,217.788147,0.000000,27.607910,0.000000
Tue Jun  7 17:54:20 2022,queens,-fcase-merge,19789.029000,364.167969,217.380859,0.001160,27.597839,0.000000
Tue Jun  7 17:56:14 2022,queens,-fcase-merge,19796.189000,363.843384,217.660400,0.001099,27.592346,0.000000
Tue Jun  7 17:58:23 2022,queens,-fcase-merge,19784.435000,363.083679,217.246094,0.000000,27.586548,0.000000
Tue Jun  7 18:00:15 2022,queens,-fcase-merge,19792.832000,365.078491,218.491150,0.000000,27.589050,0.000000
Tue Jun  7 18:01:40 2022,queens,-fcase-merge,19804.048000,365.588318,218.805115,0.000000,27.606079,0.000000
Tue Jun  7 18:03:41 2022,queens,-fcase-folding,19797.949000,364.583801,218.140991,0.000977,27.599243,0.000000
Tue Jun  7 18:05:05 2022,queens,-fcase-folding,19796.910000,363.711914,217.615479,0.000977,27.588867,0.000000
Tue Jun  7 18:07:38 2022,queens,-fcase-folding,19800.364000,363.647400,217.078003,0.000000,27.596252,0.000000
Tue Jun  7 18:09:52 2022,queens,-fcase-folding,19796.082000,362.534302,216.546082,0.001099,27.577759,0.000000
Tue Jun  7 18:11:35 2022,queens,-fcase-folding,19792.349000,364.433044,218.357605,0.000977,27.586426,0.000000
Tue Jun  7 18:13:37 2022,queens,-fcase-folding,19807.356000,363.811401,217.164917,0.001099,27.592957,0.000000
Tue Jun  7 18:15:38 2022,queens,-fcase-folding,19790.165000,362.480896,216.206726,0.001282,27.588135,0.000000
Tue Jun  7 18:17:06 2022,queens,-fcase-folding,19772.444000,364.192749,217.999207,0.001099,27.554321,0.000000
Tue Jun  7 18:18:40 2022,queens,-fcase-folding,19809.711000,364.684326,217.876831,0.001099,27.613831,0.000000
Tue Jun  7 18:20:06 2022,queens,-fcase-folding,19765.111000,363.944885,217.959534,0.001038,27.571411,0.000000
Tue Jun  7 18:21:43 2022,queens,-fcall-arity,19803.897000,364.586731,218.579712,0.000000,27.603333,0.000000
Tue Jun  7 18:24:08 2022,queens,-fcall-arity,19790.072000,364.108215,217.879822,0.000000,27.601440,0.000000
Tue Jun  7 18:26:14 2022,queens,-fcall-arity,19783.530000,365.366577,218.701538,0.000000,27.590332,0.000000
Tue Jun  7 18:28:21 2022,queens,-fcall-arity,19796.404000,366.863220,219.408508,0.000000,27.588623,0.000000
