Tue May 10 09:05:33 2022,integrate,-fcase-merge,8459.889000,279.546570,0.000000,0.000000,50.406052,0.000000,205.055542,0.000000,0.000000,38.422760,0.000000
Tue May 10 09:05:42 2022,integrate,-fcase-folding,7781.107000,266.115173,0.000000,0.000000,51.687271,0.000000,179.320923,0.000000,0.000000,25.782288,0.000000
Tue May 10 09:05:51 2022,integrate,-fcall-arity,7749.500000,182.887024,0.000000,0.000000,23.472305,0.000000,259.841736,0.000000,0.000000,56.395020,0.000000
Tue May 10 09:07:14 2022,kahan,-fcase-merge,81422.768000,2673.153442,0.000000,0.000000,347.033081,0.000000,1954.413025,0.000000,0.000000,272.189102,0.000000
Tue May 10 09:08:37 2022,kahan,-fcase-folding,81969.303000,2769.463623,0.000000,0.000000,362.349777,0.000000,1903.509705,0.000000,0.000000,263.909332,0.000000
Tue May 10 09:09:58 2022,kahan,-fcall-arity,80205.934000,1897.996033,0.000000,0.000000,235.152512,0.000000,2657.159363,0.000000,0.000000,382.911362,0.000000
Tue May 10 09:10:02 2022,paraffins,-fcase-merge,2449.895000,56.763062,0.000000,0.000000,7.331070,0.000000,80.604614,0.000000,0.000000,13.051498,0.000000
Tue May 10 09:10:06 2022,paraffins,-fcase-folding,2447.936000,82.483948,0.000000,0.000000,11.480637,0.000000,56.382324,0.000000,0.000000,8.224472,0.000000
Tue May 10 09:10:09 2022,paraffins,-fcall-arity,2400.943000,56.454834,0.000000,0.000000,7.071030,0.000000,80.401306,0.000000,0.000000,12.317902,0.000000
Tue May 10 09:10:13 2022,primes,-fcase-merge,2397.756000,55.401367,0.000000,0.000000,7.141037,0.000000,78.538696,0.000000,0.000000,12.356979,0.000000
Tue May 10 09:10:17 2022,primes,-fcase-folding,2439.413000,56.310242,0.000000,0.000000,7.280960,0.000000,79.792725,0.000000,0.000000,13.056458,0.000000
Tue May 10 09:10:20 2022,primes,-fcall-arity,2362.957000,55.407959,0.000000,0.000000,7.008774,0.000000,78.752991,0.000000,0.000000,12.000595,0.000000
Tue May 10 09:10:41 2022,queens,-fcase-merge,19893.561000,467.293396,0.000000,0.000000,58.217987,0.000000,667.005249,0.000000,0.000000,96.574356,0.000000
Tue May 10 09:11:02 2022,queens,-fcase-folding,19963.568000,468.808167,0.000000,0.000000,58.312790,0.000000,670.647461,0.000000,0.000000,96.001312,0.000000
Tue May 10 09:11:23 2022,queens,-fcall-arity,19996.991000,471.058838,0.000000,0.000000,58.760193,0.000000,674.243164,0.000000,0.000000,97.914551,0.000000
Tue May 10 09:11:37 2022,rfib,-fcase-merge,12995.321000,305.585815,0.000000,0.000000,38.183823,0.000000,435.754944,0.000000,0.000000,67.370087,0.000000
Tue May 10 09:11:52 2022,rfib,-fcase-folding,13590.213000,457.462341,0.000000,0.000000,61.627716,0.000000,314.521973,0.000000,0.000000,43.918655,0.000000
