timestamp,program,flag,execution_time,pkg_energy,pp0,pp1,dram,psys
Wed Jun  1 20:33:54 2022,cacheprof,-fexitification,330.078000,11.508118,9.265503,0.000000,0.529114,0.000000
Wed Jun  1 20:34:01 2022,cacheprof,-fexitification,327.524000,11.524963,9.292603,0.000000,0.535400,0.000000
Wed Jun  1 20:34:09 2022,cacheprof,-fexitification,318.462000,11.102722,8.930969,0.000000,0.512878,0.000000
Wed Jun  1 20:34:15 2022,cacheprof,-fexitification,324.665000,11.312805,9.092651,0.000000,0.535400,0.000000
Wed Jun  1 20:34:26 2022,cacheprof,-fexitification,341.736000,11.841553,9.524536,0.000000,0.546082,0.000000
Wed Jun  1 20:34:32 2022,cacheprof,-fexitification,305.822000,10.099487,8.025513,0.000000,0.453308,0.000000
Wed Jun  1 20:34:49 2022,cacheprof,-fexitification,322.218000,11.448730,9.240173,0.000000,0.544556,0.000000
Wed Jun  1 20:34:57 2022,cacheprof,-fexitification,326.369000,11.376648,9.157227,0.000000,0.535095,0.000000
Wed Jun  1 20:35:07 2022,cacheprof,-fexitification,316.302000,10.673462,8.538269,0.000000,0.495544,0.000000
Wed Jun  1 20:35:16 2022,cacheprof,-fexitification,324.836000,11.042664,8.854309,0.000000,0.510559,0.000000
Wed Jun  1 20:35:30 2022,cacheprof,-fcmm-elim-common-blocks,276.790000,8.829712,6.982544,0.000000,0.399536,0.000000
Wed Jun  1 20:35:49 2022,cacheprof,-fcmm-elim-common-blocks,301.564000,9.626465,7.603516,0.000000,0.449524,0.000000
Wed Jun  1 20:35:59 2022,cacheprof,-fcmm-elim-common-blocks,258.342000,8.376099,6.636658,0.000000,0.375061,0.000000
Wed Jun  1 20:36:05 2022,cacheprof,-fcmm-elim-common-blocks,271.150000,8.726013,6.902100,0.000000,0.394043,0.000000
Wed Jun  1 20:36:16 2022,cacheprof,-fcmm-elim-common-blocks,294.502000,9.393738,7.421692,0.000000,0.423096,0.000000
Wed Jun  1 20:36:22 2022,cacheprof,-fcmm-elim-common-blocks,337.236000,10.801514,8.551270,0.000000,0.481689,0.000000
Wed Jun  1 20:36:29 2022,cacheprof,-fcmm-elim-common-blocks,303.998000,9.772461,7.749084,0.000000,0.435547,0.000000
Wed Jun  1 20:36:35 2022,cacheprof,-fcmm-elim-common-blocks,333.119000,10.862000,8.643066,0.000000,0.479126,0.000000
Wed Jun  1 20:36:45 2022,cacheprof,-fcmm-elim-common-blocks,259.834000,8.154480,6.441895,0.000000,0.371582,0.000000
Wed Jun  1 20:36:58 2022,cacheprof,-fcmm-elim-common-blocks,321.324000,10.192322,8.040588,0.000000,0.458984,0.000000
Wed Jun  1 20:37:14 2022,cacheprof,-fcmm-sink,291.650000,9.333008,7.399048,0.000000,0.418701,0.000000
Wed Jun  1 20:37:21 2022,cacheprof,-fcmm-sink,264.951000,8.413147,6.652405,0.000000,0.381897,0.000000
Wed Jun  1 20:37:35 2022,cacheprof,-fcmm-sink,276.728000,8.935181,7.081787,0.000000,0.398010,0.000000
Wed Jun  1 20:37:42 2022,cacheprof,-fcmm-sink,276.174000,8.852600,7.017273,0.000000,0.398499,0.000000
Wed Jun  1 20:37:48 2022,cacheprof,-fcmm-sink,291.063000,9.541138,7.588440,0.000000,0.417603,0.000000
Wed Jun  1 20:37:58 2022,cacheprof,-fcmm-sink,290.435000,9.317871,7.387329,0.000000,0.421753,0.000000
Wed Jun  1 20:38:17 2022,cacheprof,-fcmm-sink,292.137000,9.263062,7.307861,0.000000,0.424438,0.000000
Wed Jun  1 20:38:29 2022,cacheprof,-fcmm-sink,361.181000,11.934448,9.527283,0.000000,0.520081,0.000000
Wed Jun  1 20:38:35 2022,cacheprof,-fcmm-sink,274.967000,8.734497,6.885071,0.000000,0.394775,0.000000
Wed Jun  1 20:38:52 2022,cacheprof,-fcmm-sink,320.660000,10.287292,8.153809,0.000000,0.459167,0.000000
Wed Jun  1 20:39:04 2022,cacheprof,-fcpr-anal,295.642000,9.331055,7.359741,0.000000,0.424255,0.000000
