timestamp,program,flag,execution_time,pkg_energy,pp0,pp1,dram,psys
Thu Jun  2 23:55:01 2022,cacheprof,-fdo-lambda-eta-expansion,337.861000,11.920593,9.616516,0.000000,0.543396,0.000000
Thu Jun  2 23:55:12 2022,cacheprof,-fdo-lambda-eta-expansion,311.302000,10.514648,8.398865,0.000000,0.486328,0.000000
Thu Jun  2 23:55:22 2022,cacheprof,-fdo-lambda-eta-expansion,327.711000,11.442993,9.217834,0.000000,0.527161,0.000000
Thu Jun  2 23:55:28 2022,cacheprof,-fdo-lambda-eta-expansion,324.709000,11.247131,9.045349,0.000000,0.519409,0.000000
Thu Jun  2 23:55:35 2022,cacheprof,-fdo-lambda-eta-expansion,327.025000,11.224121,9.002014,0.000000,0.514465,0.000000
Thu Jun  2 23:55:41 2022,cacheprof,-fdo-lambda-eta-expansion,308.802000,10.420471,8.322083,0.000000,0.474548,0.000000
Thu Jun  2 23:55:49 2022,cacheprof,-fdo-lambda-eta-expansion,337.368000,11.728943,9.429688,0.000000,0.529663,0.000000
Thu Jun  2 23:55:58 2022,cacheprof,-fdo-lambda-eta-expansion,316.267000,10.862244,8.712524,0.000000,0.491760,0.000000
Thu Jun  2 23:56:10 2022,cacheprof,-fdo-lambda-eta-expansion,338.085000,11.580811,9.277588,0.000000,0.544006,0.000000
Thu Jun  2 23:56:19 2022,cacheprof,-fdo-lambda-eta-expansion,326.320000,11.233887,9.020935,0.000000,0.504089,0.000000
Thu Jun  2 23:56:49 2022,cacheprof,-ffloat-in,326.726000,11.175781,8.953125,0.000000,0.510681,0.000000
Thu Jun  2 23:57:10 2022,cacheprof,-ffloat-in,294.390000,9.297974,7.351501,0.000793,0.422852,0.000000
Thu Jun  2 23:57:24 2022,cacheprof,-ffloat-in,267.235000,8.256226,6.462219,0.000000,0.384033,0.000000
Thu Jun  2 23:57:51 2022,cacheprof,-ffloat-in,279.567000,8.878906,7.008240,0.000000,0.401123,0.000000
Thu Jun  2 23:58:15 2022,cacheprof,-ffloat-in,373.113000,12.161560,9.671509,0.000000,0.534546,0.000000
Thu Jun  2 23:58:22 2022,cacheprof,-ffloat-in,286.052000,9.172974,7.262695,0.000000,0.411621,0.000000
Thu Jun  2 23:58:32 2022,cacheprof,-ffloat-in,380.465000,12.481750,9.961609,0.000000,0.542603,0.000000
Thu Jun  2 23:58:40 2022,cacheprof,-ffloat-in,303.367000,9.612366,7.600769,0.000000,0.435730,0.000000
Thu Jun  2 23:58:51 2022,cacheprof,-ffloat-in,295.143000,9.367065,7.409241,0.000000,0.423401,0.000000
Thu Jun  2 23:59:19 2022,cacheprof,-ffloat-in,396.445000,13.190247,10.526917,0.000000,0.564941,0.000000
Thu Jun  2 23:59:46 2022,cacheprof,-ffull-laziness,288.986000,9.148621,7.215881,0.000000,0.412537,0.000000
Fri Jun  3 00:00:08 2022,cacheprof,-ffull-laziness,282.740000,9.070068,7.179810,0.000000,0.406128,0.000000
Fri Jun  3 00:00:21 2022,cacheprof,-ffull-laziness,273.275000,8.446228,6.606262,0.000000,0.391846,0.000000
Fri Jun  3 00:00:37 2022,cacheprof,-ffull-laziness,260.631000,8.359253,6.606262,0.000000,0.374878,0.000000
Fri Jun  3 00:00:46 2022,cacheprof,-ffull-laziness,286.370000,9.245544,7.302429,0.000000,0.409851,0.000000
Fri Jun  3 00:00:52 2022,cacheprof,-ffull-laziness,313.163000,9.966614,7.863098,0.000000,0.447632,0.000000
Fri Jun  3 00:01:04 2022,cacheprof,-ffull-laziness,341.135000,11.034241,8.760742,0.000000,0.489319,0.000000
Fri Jun  3 00:01:13 2022,cacheprof,-ffull-laziness,338.089000,10.875000,8.637329,0.000000,0.482544,0.000000
Fri Jun  3 00:01:31 2022,cacheprof,-ffull-laziness,296.727000,9.299683,7.333984,0.000000,0.423096,0.000000
Fri Jun  3 00:01:40 2022,cacheprof,-ffull-laziness,287.329000,9.281189,7.354431,0.000000,0.427124,0.000000
Fri Jun  3 00:02:16 2022,cacheprof,-fignore-asserts,347.143000,11.339172,9.016113,0.000000,0.495361,0.000000
Fri Jun  3 00:02:35 2022,cacheprof,-fignore-asserts,284.222000,8.989075,7.091248,0.000000,0.408997,0.000000
Fri Jun  3 00:02:43 2022,cacheprof,-fignore-asserts,258.217000,8.320435,6.591248,0.000000,0.369995,0.000000
Fri Jun  3 00:02:55 2022,cacheprof,-fignore-asserts,265.849000,8.436829,6.674866,0.000000,0.380737,0.000000
Fri Jun  3 00:03:12 2022,cacheprof,-fignore-asserts,375.705000,12.380859,9.879883,0.000000,0.535522,0.000000
